date,diamond price,inflation rate,gold price,BTC_Close,BTC_Volume,BTC_Marketcap,ETH_Close,ETH_Volume,ETH_Marketcap,DOGE_Close,DOGE_Volume,DOGE_Marketcap
6/24/2018,10671.438,1.84,1271.88,6173.22998,4566909952,1.06E+11,457.6719971,2490579968,45897156207,0.00250983,9879600,288641070.6
6/23/2018,10623.656,1.88,1271.88,6162.47998,3431360000,1.05E+11,474.519989,1651379968,47577076102,0.00264083,9938440,303670220
6/22/2018,10604.346,1.85,1269.63,6083.689941,5079810048,1.04E+11,465.8169861,2226030080,46694859628,0.00266752,9291920,306702252.8
6/21/2018,10573.854,1.86,1267.73,6729.740234,3529129984,1.15E+11,527.3670044,1462070016,52853921455,0.00298777,3952000,343481918.2
6/20/2018,10572.109,1.86,1277.5,6776.549805,3888640000,1.16E+11,536.2680054,1596290048,53735032875,0.00302053,3245680,347206138
6/19/2018,10574.323,1.86,1274.78,6769.939941,4057029888,1.16E+11,537.9569702,1726569984,53893191559,0.00303335,4460270,348638114.6
6/18/2018,10569.9,1.86,1275.5,6734.819824,4039200000,1.15E+11,518.8909912,1513869952,51972519171,0.0030275,8143520,347923935
6/17/2018,10566.693,1.87,1280.53,6499.27002,3104019968,1.11E+11,500.447998,1264870016,50114921288,0.00287259,6253640,330081698.2
6/16/2018,10565.036,1.88,1280.53,6550.160156,3194170112,1.12E+11,499.6419983,1314109952,50024018701,0.0028948,6642410,332593553.1
6/15/2018,10569.451,1.92,1280.53,6456.580078,3955389952,1.10E+11,491.0039978,1808269952,49149084090,0.00290099,12125600,333264839.5
6/14/2018,10566.076,1.92,1292.13,6675.350098,5138710016,1.14E+11,519.7420044,2458650112,52015066663,0.00294403,9869880,338168614.5
6/13/2018,10561.495,1.91,1299.73,6349.899902,5052349952,1.09E+11,477.493988,2080130048,47777150787,0.00281681,11074900,323516473.6
6/12/2018,10561.272,1.9,1300.6,6582.359863,4654380032,1.12E+11,496.8429871,1932760064,49702985162,0.0030892,4965300,354758102
6/11/2018,10562.193,1.91,1300.13,6906.919922,4745269760,1.18E+11,533.2839966,1982119936,53337466294,0.00323423,4841840,371367949.7
6/10/2018,10556.075,1.87,1299.88,6786.02002,5804839936,1.16E+11,526.4790039,2234880000,52645885461,0.00318239,7439530,365371602.8
6/9/2018,10560.858,1.84,1299.88,7531.97998,3845220096,1.29E+11,597.5620117,1519309952,59741701633,0.00359336,4672910,412504965.8
6/8/2018,10564.61,1.85,1329.58,7624.919922,4227579904,1.30E+11,601.0770264,1637779968,60080608858,0.00365863,6921140,419946809
6/7/2018,10563.505,1.85,1297.13,7678.240234,4485799936,1.31E+11,605.1870117,1880140032,60478879395,0.0037318,6110720,428293523.8
6/6/2018,10568.984,1.85,1294,7653.97998,4692259840,1.31E+11,607.1240234,1756530048,60659842641,0.00378681,21273700,434554167.5
6/5/2018,10564.069,1.88,1296.13,7633.759766,4961739776,1.30E+11,609.3029785,1844269952,60864980395,0.00365393,18819700,419254905.7
6/4/2018,10550.13,1.88,1291.98,7514.470215,4993169920,1.28E+11,592.9849854,1903430016,59222873880,0.00353221,22162200,405239497.1
6/3/2018,10547.103,1.92,1293.13,7720.25,4851760128,1.32E+11,618.3289795,1832550016,61740821846,0.0036903,19570200,423325478.7
6/2/2018,10543.025,1.9,1293.13,7643.450195,4939299840,1.30E+11,591.8079834,1880390016,59080880117,0.00355791,5918490,408089277.7
6/1/2018,10538.838,1.91,1293.13,7541.450195,4921460224,1.29E+11,580.0430298,1945890048,57894350583,0.00342321,5436780,392591613
5/31/2018,10083.73,1.93,1298.33,7494.169922,5127130112,1.28E+11,577.6450195,1985040000,57643138807,0.00339807,8971080,389661095.6
5/30/2018,10083.9,1.94,1309.88,7406.52002,4922540032,1.26E+11,559.5900269,2053970048,55829809817,0.00335353,7463910,384506683.5
5/29/2018,10106.18,1.95,1299,7472.589844,5662660096,1.28E+11,565.3880005,2330820096,56396587656,0.00343657,9244550,393979506.2
5/28/2018,10111.69,1.97,1298.1,7135.990234,5040600064,1.22E+11,516.0360107,2356900096,51463146627,0.00322557,7502800,369745371.3
5/27/2018,10118.63,1.96,1301.58,7368.220215,4056519936,1.26E+11,572.6680298,1788790016,57099072056,0.00342387,3494870,392428907.3
5/26/2018,10112.36,1.96,1301.58,7355.879883,4051539968,1.25E+11,587.2800293,1694300032,58544016481,0.00346258,6353660,396818056.5
5/25/2018,10114.38,1.97,1301.58,7480.140137,4867829760,1.28E+11,586.7340088,2110919936,58477440268,0.00351419,10613600,402683932.8
5/24/2018,10120.91,1.96,1304.88,7587.339844,6049220096,1.29E+11,601.7550049,2791099904,59962094302,0.00349918,10460200,400915452
5/23/2018,10108.78,1.98,1293.13,7557.819824,6491120128,1.29E+11,583.585022,2995429888,58139666822,0.00359065,14899100,411345522.5
5/22/2018,10107.35,1.97,1291.33,8041.779785,5137010176,1.37E+11,647.7410278,2230469888,64517663406,0.00385106,10205700,441124251.7
5/21/2018,10105.5,1.97,1294.68,8418.990234,5154990080,1.44E+11,699.2219849,2005170048,69631032596,0.00427093,18454500,489159637.9
5/20/2018,10105.86,1.98,1329.85,8513.25,5191059968,1.45E+11,715.3690186,2156910080,71224213260,0.00442274,15909900,506485164.2
5/19/2018,10106.47,1.95,1329.85,8247.179688,4712399872,1.41E+11,696.5300293,2021549952,69334147807,0.00428573,15007400,490735464
5/18/2018,10107.98,1.97,1329.85,8250.969727,5764190208,1.41E+11,694.3670044,2305740032,69104455849,0.00401709,13622000,459919189.7
5/17/2018,10111.34,1.98,1287.5,8094.319824,5862530048,1.38E+11,672.6569824,2350619904,66929938612,0.00418828,17314000,479446691.6
5/16/2018,10088.98,2,1297.4,8368.830078,6760220160,1.43E+11,707.0499878,2476130048,70337446111,0.00438535,9611630,501944870.6
5/15/2018,10085.07,2.01,1293.88,8510.379883,6705710080,1.45E+11,708.8709717,2523069952,70504110201,0.00451504,21076900,516726420.8
5/14/2018,10061.15,2.02,1312.83,8716.790039,7364149760,1.48E+11,730.5490112,3005110016,72645181706,0.00445996,12399700,510361317.6
5/13/2018,10064.73,2.01,1321.85,8723.94043,5866379776,1.49E+11,733.4959717,2362500096,72923278119,0.00432875,19823500,495286561.6
5/12/2018,10059.69,1.99,1321.85,8504.889648,6821380096,1.45E+11,686.0479736,2668480000,68192028458,0.00447346,27449400,511781760.5
5/11/2018,10058.4,2.01,1321.85,8441.490234,8488520192,1.44E+11,679.5859985,3290080000,67535702572,0.00436158,27582800,498921346.2
5/10/2018,10057.48,2.01,1321.25,9043.94043,6906699776,1.54E+11,727.2769775,2748950016,72260117775,0.0048699,34878500,557000639.1
5/9/2018,10055.51,2,1312.63,9325.179688,7226890240,1.59E+11,752.2750244,2877870080,74728439730,0.00509255,33562300,582406975.7
5/8/2018,10048.4,2.01,1315.7,9234.820313,7415869952,1.57E+11,752.8569946,2920489984,74770813968,0.00530308,40660100,606410324.2
5/7/2018,10041.23,2.03,1316.4,9373.009766,7394019840,1.60E+11,753.7249756,4316120064,74841655792,0.00481743,25891500,550808733.6
5/6/2018,10050.58,2.01,1309.5,9654.799805,7222280192,1.64E+11,792.3109741,3105570048,78656662788,0.00496956,33446900,568134217.7
5/5/2018,10048.61,2.04,1309.5,9858.150391,7651939840,1.68E+11,816.1199951,3035040000,81003446783,0.00518045,30335800,592172154
5/4/2018,10048.29,2.01,1315.05,9700.759766,8217829888,1.65E+11,785.6240234,3533410048,77960306236,0.00526854,14434200,602168794.8
5/3/2018,10046.02,2.03,1312.23,9743.860352,10207299584,1.66E+11,779.5430298,4210939904,77340839220,0.00564099,50484900,644659838.4
